   o    0.00000000     0.00000000
   o    1.00000000     2.00000000
   o    2.00000000     4.00000000
   o    3.00000000     1.00000000
   o    4.00000000     0.00000000
   o    5.00000000     1.00000000
   *   -0.47500000    -3.37353429
   *   -0.45000000    -3.17872569
   *   -0.42500000    -2.98747189
   *   -0.40000000    -2.79974602
   *   -0.37500000    -2.61552114
   *   -0.34999999    -2.43477029
   *   -0.32500000    -2.25746672
   *   -0.30000000    -2.08358331
   *   -0.27500001    -1.91309336
   *   -0.25000000    -1.74596974
   *   -0.22499999    -1.58218566
   *   -0.19999999    -1.42171421
   *   -0.17500001    -1.26452866
   *   -0.15000001    -1.11060172
   *   -0.12500000    -0.95990668
   *   -0.09999999    -0.81241663
   *   -0.07499999    -0.66810466
   *   -0.05000001    -0.52694401
   *   -0.02500001    -0.38890746
   *    0.00000000    -0.25396825
   *    0.02499998    -0.12209964
   *    0.05000001     0.00672576
   *    0.07499999     0.13253423
   *    0.10000002     0.25535329
   *    0.12500000     0.37520926
   *    0.14999998     0.49212935
   *    0.17500001     0.60614074
   *    0.19999999     0.71726979
   *    0.22500002     0.82554394
   *    0.25000000     0.93098958
   *    0.27499998     1.03363389
   *    0.30000001     1.13350402
   *    0.32499999     1.23062638
   *    0.35000002     1.32502836
   *    0.37500000     1.41673642
   *    0.39999998     1.50577769
   *    0.42500001     1.59217929
   *    0.44999999     1.67596772
   *    0.47500002     1.75717028
   *    0.50000000     1.83581349
   *    0.52499998     1.91192447
   *    0.54999995     1.98553012
   *    0.57500005     2.05665769
   *    0.60000002     2.12533340
   *    0.62500000     2.19158451
   *    0.64999998     2.25543794
   *    0.67499995     2.31692058
   *    0.70000005     2.37605963
   *    0.72500002     2.43288144
   *    0.75000000     2.48741319
   *    0.77499998     2.53968181
   *    0.79999995     2.58971419
   *    0.82500005     2.63753748
   *    0.85000002     2.68317812
   *    0.87500000     2.72666326
   *    0.89999998     2.76801980
   *    0.92499995     2.80727467
   *    0.95000005     2.84445493
   *    0.97500002     2.87958715
   *    1.00000000     2.91269841
   *    1.02499998     2.94381563
   *    1.04999995     2.97296572
   *    1.07500005     3.00017571
   *    1.10000002     3.02547225
   *    1.12500000     3.04888238
   *    1.14999998     3.07043302
   *    1.17499995     3.09015107
   *    1.20000005     3.10806352
   *    1.22500002     3.12419713
   *    1.25000000     3.13857887
   *    1.27499998     3.15123567
   *    1.29999995     3.16219443
   *    1.32500005     3.17148210
   *    1.35000002     3.17912550
   *    1.37500000     3.18515160
   *    1.39999998     3.18958730
   *    1.42499995     3.19245951
   *    1.45000005     3.19379514
   *    1.47500002     3.19362109
   *    1.50000000     3.19196429
   *    1.52500010     3.18885161
   *    1.54999995     3.18431003
   *    1.57500005     3.17836637
   *    1.59999990     3.17104765
   *    1.62500000     3.16238064
   *    1.65000010     3.15239232
   *    1.67499995     3.14110971
   *    1.70000005     3.12855950
   *    1.72499990     3.11476884
   *    1.75000000     3.09976438
   *    1.77500010     3.08357316
   *    1.79999995     3.06622226
   *    1.82500005     3.04773824
   *    1.84999990     3.02814839
   *    1.87500000     3.00747923
   *    1.90000010     2.98575785
   *    1.92499995     2.96301139
   *    1.95000005     2.93926632
   *    1.97499990     2.91455001
   *    2.00000000     2.88888889
   *    2.02500010     2.86231010
   *    2.04999995     2.83484083
   *    2.07500005     2.80650745
   *    2.09999990     2.77733741
   *    2.12500000     2.74735708
   *    2.15000010     2.71659363
   *    2.17499995     2.68507428
   *    2.20000005     2.65282533
   *    2.22499990     2.61987432
   *    2.25000000     2.58624752
   *    2.27500010     2.55197215
   *    2.29999995     2.51707546
   *    2.32500005     2.48158370
   *    2.34999990     2.44552444
   *    2.37500000     2.40892392
   *    2.40000010     2.37180938
   *    2.42499995     2.33420810
   *    2.45000005     2.29614626
   *    2.47499990     2.25765150
   *    2.50000000     2.21875000
   *    2.52500010     2.17946903
   *    2.54999995     2.13983589
   *    2.57500005     2.09987672
   *    2.59999990     2.05961920
   *    2.62500000     2.01908947
   *    2.65000010     1.97831482
   *    2.67499995     1.93732256
   *    2.70000005     1.89613881
   *    2.72499990     1.85479127
   *    2.75000000     1.81330605
   *    2.77500010     1.77171047
   *    2.79999995     1.73003183
   *    2.82500005     1.68829624
   *    2.84999990     1.64653141
   *    2.87500000     1.60476345
   *    2.90000010     1.56301968
   *    2.92499995     1.52132740
   *    2.95000005     1.47971272
   *    2.97499990     1.43820335
   *    3.00000000     1.39682540
   *    3.02500010     1.35560618
   *    3.04999995     1.31457299
   *    3.07500005     1.27375197
   *    3.09999990     1.23317079
   *    3.12500000     1.19285559
   *    3.15000010     1.15283368
   *    3.17499995     1.11313233
   *    3.20000005     1.07377770
   *    3.22499990     1.03479746
   *    3.25000000     0.99621776
   *    3.27500010     0.95806589
   *    3.29999995     0.92036912
   *    3.32500005     0.88315364
   *    3.34999990     0.84644706
   *    3.37500000     0.81027561
   *    3.40000010     0.77466653
   *    3.42499995     0.73964708
   *    3.45000005     0.70524349
   *    3.47499990     0.67148332
   *    3.50000000     0.63839286
   *    3.52500010     0.60599932
   *    3.55000019     0.57432962
   *    3.57499981     0.54341126
   *    3.59999990     0.51326995
   *    3.62500000     0.48393322
   *    3.65000010     0.45542797
   *    3.67500019     0.42778110
   *    3.69999981     0.40102004
   *    3.72499990     0.37517067
   *    3.75000000     0.35026042
   *    3.77500010     0.32631619
   *    3.80000019     0.30336491
   *    3.82499981     0.28143388
   *    3.84999990     0.26054918
   *    3.87500000     0.24073816
   *    3.90000010     0.22202771
   *    3.92500019     0.20444475
   *    3.94999981     0.18801649
   *    3.97499990     0.17276922
   *    4.00000000     0.15873016
   *    4.02500010     0.14592623
   *    4.05000019     0.13438434
   *    4.07499981     0.12413158
   *    4.09999990     0.11519448
   *    4.12500000     0.10760014
   *    4.15000010     0.10137547
   *    4.17500019     0.09654740
   *    4.19999981     0.09314288
   *    4.22499990     0.09118868
   *    4.25000000     0.09071181
   *    4.27500010     0.09173916
   *    4.30000019     0.09429764
   *    4.32499981     0.09841409
   *    4.34999990     0.10411555
   *    4.37500000     0.11142888
   *    4.40000010     0.12038099
   *    4.42500019     0.13099879
   *    4.44999981     0.14330893
   *    4.47499990     0.15733879
   *    4.50000000     0.17311508
   *    4.52500010     0.19066469
