   o   -3.00000000     4.00000000
   o   -1.00000000     1.00000000
   o    0.00000000     0.00000000
   o    1.00000000     2.00000000
   o    2.00000000     5.00000000
   *   -3.47500000     4.90090949
   *   -3.45000000     4.85617082
   *   -3.42500000     4.81121062
   *   -3.40000000     4.76603773
   *   -3.37500000     4.72066101
   *   -3.34999999     4.67508927
   *   -3.32500000     4.62933142
   *   -3.30000000     4.58339622
   *   -3.27500001     4.53729259
   *   -3.25000000     4.49102931
   *   -3.22499999     4.44461526
   *   -3.19999999     4.39805928
   *   -3.17500001     4.35137026
   *   -3.15000001     4.30455695
   *   -3.12500000     4.25762824
   *   -3.09999999     4.21059298
   *   -3.07499999     4.16346001
   *   -3.05000001     4.11623823
   *   -3.02500001     4.06893637
   *   -3.00000000     4.02156334
   *   -2.97500002     3.97412804
   *   -2.94999999     3.92663913
   *   -2.92500001     3.87910569
   *   -2.89999998     3.83153634
   *   -2.87500000     3.78394015
   *   -2.85000002     3.73632585
   *   -2.82499999     3.68870218
   *   -2.80000001     3.64107819
   *   -2.77499998     3.59346251
   *   -2.75000000     3.54586422
   *   -2.72500002     3.49829203
   *   -2.69999999     3.45075469
   *   -2.67500001     3.40326127
   *   -2.64999998     3.35582037
   *   -2.62500000     3.30844108
   *   -2.60000002     3.26113212
   *   -2.57499999     3.21390223
   *   -2.55000001     3.16676047
   *   -2.52499998     3.11971546
   *   -2.50000000     3.07277628
   *   -2.47500002     3.02595165
   *   -2.45000005     2.97925043
   *   -2.42499995     2.93268122
   *   -2.39999998     2.88625333
   *   -2.37500000     2.83997536
   *   -2.35000002     2.79385618
   *   -2.32500005     2.74790461
   *   -2.29999995     2.70212929
   *   -2.27499998     2.65653950
   *   -2.25000000     2.61114387
   *   -2.22500002     2.56595123
   *   -2.20000005     2.52097044
   *   -2.17499995     2.47621012
   *   -2.14999998     2.43167954
   *   -2.12500000     2.38738734
   *   -2.10000002     2.34334236
   *   -2.07500005     2.29955344
   *   -2.04999995     2.25602923
   *   -2.02499998     2.21277898
   *   -2.00000000     2.16981132
   *   -1.97500002     2.12713511
   *   -1.95000005     2.08475918
   *   -1.92499995     2.04269218
   *   -1.89999998     2.00094336
   *   -1.87500000     1.95952135
   *   -1.85000002     1.91843501
   *   -1.82500005     1.87769318
   *   -1.79999995     1.83730451
   *   -1.77499998     1.79727822
   *   -1.75000000     1.75762298
   *   -1.72500002     1.71834762
   *   -1.70000005     1.67946099
   *   -1.67499995     1.64097175
   *   -1.64999998     1.60288911
   *   -1.62500000     1.56522174
   *   -1.60000002     1.52797847
   *   -1.57500005     1.49116815
   *   -1.54999995     1.45479946
   *   -1.52499998     1.41888158
   *   -1.50000000     1.38342318
   *   -1.47499990     1.34843295
   *   -1.45000005     1.31392021
   *   -1.42499995     1.27989317
   *   -1.40000010     1.24636131
   *   -1.37500000     1.21333284
   *   -1.34999990     1.18081693
   *   -1.32500005     1.14882271
   *   -1.29999995     1.11735843
