     Eigenvalue        Energy     Occupancy
 ------------------------------------------
    -2.61803399   -9.30557281    0.00000000
    -2.61803399   -9.30557281    0.00000000
    -2.61803399   -9.30557281    0.00000000
    -2.56155281   -9.35075775    0.00000000
    -2.56155281   -9.35075775    0.00000000
    -2.56155281   -9.35075775    0.00000000
    -2.56155281   -9.35075775    0.00000000
    -2.00000000   -9.80000000    0.00000000
    -2.00000000   -9.80000000    0.00000000
    -2.00000000   -9.80000000    0.00000000
    -2.00000000   -9.80000000    0.00000000
    -1.61803399  -10.10557281    0.00000000
    -1.61803399  -10.10557281    0.00000000
    -1.61803399  -10.10557281    0.00000000
    -1.61803399  -10.10557281    0.00000000
    -1.61803399  -10.10557281    0.00000000
    -1.43828324  -10.24937341    0.00000000
    -1.43828324  -10.24937341    0.00000000
    -1.43828324  -10.24937341    0.00000000
    -1.30277564  -10.35777949    0.00000000
    -1.30277564  -10.35777949    0.00000000
    -1.30277564  -10.35777949    0.00000000
    -1.30277564  -10.35777949    0.00000000
    -1.30277564  -10.35777949    0.00000000
    -0.38196601  -11.09442719    0.00000000
    -0.38196601  -11.09442719    0.00000000
    -0.38196601  -11.09442719    0.00000000
    -0.13856427  -11.28914859    0.00000000
    -0.13856427  -11.28914859    0.00000000
    -0.13856427  -11.28914859    0.00000000
     0.61803399  -11.89442719    2.00000000
     0.61803399  -11.89442719    2.00000000
     0.61803399  -11.89442719    2.00000000
     0.61803399  -11.89442719    2.00000000
     0.61803399  -11.89442719    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.56155281  -12.64924225    2.00000000
     1.56155281  -12.64924225    2.00000000
     1.56155281  -12.64924225    2.00000000
     1.56155281  -12.64924225    2.00000000
     1.82024925  -12.85619940    2.00000000
     1.82024925  -12.85619940    2.00000000
     1.82024925  -12.85619940    2.00000000
     2.30277564  -13.24222051    2.00000000
     2.30277564  -13.24222051    2.00000000
     2.30277564  -13.24222051    2.00000000
     2.30277564  -13.24222051    2.00000000
     2.30277564  -13.24222051    2.00000000
     2.75659825  -13.60527860    2.00000000
     2.75659825  -13.60527860    2.00000000
     2.75659825  -13.60527860    2.00000000
     3.00000000  -13.80000000    2.00000000
